Mouse,Test Date,Mouse Weight (g) (Sinica Measurement),Mouse Weight (g) (Own Measurement),Dexmedetomidine Dose ,Starting Isoflurane Concentration ,Respiration Rate (breaths/min),T2w,TR/TE,FOV (mm),Matrix Size,Slice Thickness (mm),No. of Slices,Averages,rs-fMRI,TR/TE,FOV,Matrix Size,Slice Thickness (mm),No. of Slices,Averages,Isoflurane Concentration ,Respiration Rate (breaths/min),DTI,TR/TE,FOV,Matrix Size,Slice Thickness (mm),No. of Slices,Averages,b-values,Directions,Isoflurane Concentration ,Respiration Rate (breaths/min),Notes,Link to Heatmap Images
1,2026/6/22,27.05,,"Bolus: 0.0676 ml, Continuous Pump: 0.135ml/h (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",1-1.5%,8X-9X,,2620/41.5 ,20x20,360x360,0.6,20,6,,2000/15 ,20x20,80x80,0.6,20,1,0%,"9X-11X, 10X-13X",,2300/40 ,20x20,128x128,0.6,18,5,"b=1000, b=2000",20 each,1.5-3%,4X-5X,,https://www.dropbox.com/scl/fo/io3ynh8envji835z9bcyo/ALRL00Fl-21yR_nLnaE3Mss?rlkey=b36uwcce8ux6bi43d7zgsznyq&st=u4txh69t&dl=0
6,2026/6/22,27.35,,"Bolus: 0.0684 ml, Continuous Pump: 0.137ml/h  (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",1.5-2%,7X-8X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"8X-11X, 9X-11X",,//,//,//,//,//,//,//,//,//,4X-5X,"After turning on the isoflurane for the DWI scan, its breathing was messy",https://www.dropbox.com/scl/fo/d48ryb9g8wgx6fb2a0gpm/AFIyDmo1__og5p8dj82KWWk?rlkey=7trxv52awmvyyo9v14ll8csb5&st=4n5c898i&dl=0
11,2026/6/22,28.3,,"Bolus: 0.0708 ml, Continuous Pump: 0.142ml/h (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0% (breathing was slow),1X-3X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"4X-6X, 2X-7X",,//,//,//,//,//,//,//,//,//,4X-5X,"Breathing was irregular - dropped sharply after bolus injection and with administration of isoflurane, stopped breathing temporarily, redo at a later date",https://www.dropbox.com/scl/fo/vzpi8yodwo6o8tfc48t42/AEy_il4ZUf5VILJJwNcZ8qQ?rlkey=kacf6knjnif2zkhu5ryzf4f7w&st=0fqxqt89&dl=0
2,2026/6/23,26.5,,"Bolus: 0.06625 ml, Continuous Pump: 0.1325 ml/h (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",1%,7X-9X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"8X-9X, 8X-9X",,//,//,//,//,//,//,//,//,//,4X-5X,Breathing was irregular during the first fMRI scan,https://www.dropbox.com/scl/fo/pkhm79137dpka6zqiqc2s/AJm5B8SZ3qv9Jm322Qh1OVc?rlkey=tr17r85akkiacp6yuty2gsgef&st=oly1wi6r&dl=0
7,2026/6/23,27.5,,"Bolus: 0.06875 ml, Continuous Pump: 0.1375 ml/h (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0.50%,8X-9X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"9X-10X, 9X-10X",,//,//,//,//,//,//,//,//,//,4X-5X,,https://www.dropbox.com/scl/fo/il140uiou2jaufbmdsmya/AIcRa1pkrvRllW2Uc49BlsQ?rlkey=k0w89m5apxpwiq4jg8g9xxkmm&st=e6me6gyn&dl=0
12,2026/6/23,25.3,,"Bolus: 0.06325 ml, Continuous Pump: 0.1265 ml/h (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0% (breathing was slow),4X-7X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"6X-7X, 6X-7X",,//,//,//,//,//,//,//,//,//,4X-5X,,https://www.dropbox.com/scl/fo/1r8f5niyijndiqk5ja39u/APZhG2v_RucD65M3tdhqllk?rlkey=9oq892wo7mby1oxbpfhn391q3&st=4u3ydph2&dl=0
3,2026/6/24,28.9,,"Bolus: 0.06625 ml, Continuous Pump: 0.1325 ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0.5-1%,7X-9X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"7X-9X, 8X-9X",,//,//,//,//,//,//,//,//,//,4X-5X,Numbers were switched up during the scan - #3 is actually mouse #13,https://www.dropbox.com/scl/fo/3tpk5cnuzmks6sff3cwkq/AOexBLtYP_iNgAKgO3gAg24?rlkey=l7o33g3allujf0ypfm5fagraj&st=4xxqnpq9&dl=0
8,2026/6/24,26.95,,"Bolus: 0.067375 ml, Continuous Pump: 0.13475 ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0.5-1%,8X-9X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"10X-11X, 11X-12X",,//,//,//,//,//,//,//,//,//,4X-5X,,https://www.dropbox.com/scl/fo/a6aomhvv0feb6s96ynnc0/AJ7IUwD4mUnoed9R3QeTK0I?rlkey=dxb337b6sdnsvmfdy8amxnfcv&st=77kd577d&dl=0
13,2026/6/24,27.5,,"Bolus: 0.06875 ml, Continuous Pump: 0.1375 ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",1.5-2%,8X-9X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"9X-10X, 10X",,//,//,//,//,//,//,//,//,//,4X-5X,Numbers were switched up during the scan - #13 is actually mouse #3,https://www.dropbox.com/scl/fo/9ycm54j1apkphs51x0q5u/AJl5IkiYD2aNf0vO2mlA8DE?rlkey=uj6elawixldz6v7cg4vjxnetp&st=5u5umtp9&dl=0
4,2026/6/25,28.1,29.3,"Bolus: 0.07025 ml, Continuous Pump: 0.1405  ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0-0.75,7X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"7X, 7X",,//,//,//,//,//,//,//,//,//,4X-5X,Uber driver's car smelled like cat - possible stressor for mice,https://www.dropbox.com/scl/fo/a9c986zuaefsbyt25mzwf/APGhGdqB_ZzxQYOl8J-hIYM?rlkey=mdt0fvkh55cbm2936qpw7qf7p&st=4udev81j&dl=0
9,2026/6/25,25.85,26.4,"Bolus: 0.06425 ml, Continuous Pump: 0.12925  ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",0.25-0.75%,7X,,//,//,//,//,//,//,//,//,//,//,//,//,//,0%,"7X-8X, 8X",,//,//,//,//,//,//,//,//,//,4X-5X,Uber driver's car smelled like cat - possible stressor for mice,https://www.dropbox.com/scl/fo/ruhwlobgzf7kq62fbhaou/ANTyeg5FGZddx_DZ10CBEoU?rlkey=okik6bgts07vf7nwqx4xe2rza&st=4rw8dks6&dl=0
14,2026/6/25,27.5,28,"Bolus: 0.06875 ml, Continuous Pump: 0.1375  ml (0.025mg/kg bolus dexmedetomidine i.m. injection, 0.05mg/kg/h pump i.m. infusion)",1.5-2%,7X-8X,,//,//,//,//,//,//,//,//,//,//,//,//,//,"1.0-1.5%, 0.5-1%","9X-17X, 11X-12X",,//,//,//,//,//,//,//,//,//,4X-5X,"Uber driver's car smelled like cat - possible stressor for mice. fMRI 1st scan - in the last 1 minute, breathing became very quick so isoflurane was turned on. It was kept on (but dropped lower) during the second scan as well to stabilize.",https://www.dropbox.com/scl/fo/1can26soemj395ww498i6/APDD_MXZdeadvD5iIRO5-mQ?rlkey=c0chokq2z1r0i32kzl10ood8b&st=l7ume32v&dl=0
